ID,item_cnt_month
0,0.035031
1,0.000000
2,0.058497
3,0.003072
4,0.000000
5,0.022974
6,0.033194
7,0.005404
8,0.077402
9,0.000000
10,0.145896
11,0.011065
12,0.003075
13,0.021574
14,0.092527
15,0.124801
16,0.000000
17,0.006967
18,0.074099
19,0.006275
20,0.075371
21,0.000000
22,0.019915
23,0.051060
24,0.049811
25,0.000000
26,0.000000
27,0.030095
28,0.035752
29,0.048556
30,0.033376
31,0.000000
32,0.032363
33,0.023206
34,-0.001372
35,0.001896
36,0.006013
37,0.034242
38,0.015731
39,0.004666
40,0.022130
41,0.053807
42,0.140583
43,0.126529
44,0.025202
45,0.000000
46,0.072280
47,0.021206
48,0.020988
49,0.042540
50,0.085323
51,0.011065
52,0.004886
53,0.010558
54,0.239072
55,0.121712
56,0.201678
57,0.119159
58,0.165971
59,0.254489
60,0.088518
61,0.022065
62,0.026602
63,0.002831
64,0.000000
65,0.000000
66,0.046080
67,-0.000686
68,0.025202
69,-0.008448
70,0.000000
71,0.000000
72,0.015882
73,0.208703
74,0.000000
75,0.000000
76,0.006480
77,0.000000
78,0.014001
79,0.047331
80,0.065109
81,0.182383
82,0.054363
83,0.007812
84,0.086790
85,0.081305
86,0.034916
87,0.000654
88,0.096703
89,0.022235
90,0.018231
91,0.000000
92,0.166072
93,0.003072
94,0.030391
95,0.003292
96,-0.000686
97,0.039795
98,0.047479
99,0.239072
100,0.149126
101,0.000000
102,0.003684
103,0.000000
104,0.004823
105,0.000000
106,0.000000
107,-0.019376
108,0.004002
109,0.000000
110,0.004498
111,0.000000
112,0.000000
113,0.000000
114,0.011917
115,0.012948
116,0.000000
117,0.011646
118,0.492013
119,0.007835
120,0.000842
121,0.000772
122,0.004980
123,0.032518
124,0.043559
125,0.035944
126,0.000000
127,0.005956
128,0.000000
129,0.014376
130,0.000000
131,0.000000
132,0.000000
133,0.000000
134,0.002482
135,0.000000
136,0.011065
137,0.000000
138,0.035125
139,0.000000
140,0.013186
141,0.006145
142,0.007415
143,0.011065
144,0.000000
145,0.000000
146,0.000000
147,0.017511
148,0.000000
149,0.000000
150,0.001960
151,0.000000
152,0.000000
153,0.014137
154,0.000000
155,0.002370
156,0.018883
157,0.000954
158,0.003949
159,0.009332
160,0.000000
161,0.011065
162,0.000000
163,0.020576
164,0.025754
165,-0.000418
166,0.025703
167,0.004425
168,0.000000
169,0.004716
170,0.011065
171,0.093002
172,0.000564
173,0.136259
174,0.214138
175,0.289964
176,0.058374
177,0.000000
178,0.005858
179,0.002820
180,0.000000
181,0.016880
182,0.000000
183,0.014051
184,0.013458
185,0.000000
186,0.001859
187,0.006379
188,0.000000
189,0.000000
190,0.000000
191,0.047334
192,0.022130
193,0.011746
194,0.000954
195,0.005935
196,0.000000
197,0.171672
198,0.055854
199,0.000000
200,0.000000
201,0.000000
202,0.011902
203,0.060496
204,0.010519
205,0.000000
206,0.000000
207,0.000315
208,0.020140
209,0.029438
210,0.014495
211,0.006937
212,0.001210
213,0.000000
214,0.005809
215,0.052259
216,0.012669
